NewQuestion,MC,
QuestionText,"What is a pandas Series?",
Option,100,"A pandas Series containing only values greater than 75",
Option,0,"A DataFrame with one column",

NewQuestion,MC,
QuestionText,"What is a pandas DataFrame?",
Option,0,"A one-dimensional labeled array",
Option,100,"A two-dimensional labeled data structure with rows and columns",
Option,0,"A NumPy 2D array with labels",
Option,0,"A Python dictionary optimized for speed",

NewQuestion,MC,
QuestionText,"When you pass a dictionary of lists to pd.DataFrame(), what do the dictionary keys become?",
Option,0,"Row labels (the index)",
Option,100,"Column names",
Option,0,"Data values",
Option,0,"Data types",

NewQuestion,MC,
QuestionText,"What does the .set_index() method do to a DataFrame?",
Option,0,"Adds a new index column without changing existing columns",
Option,100,"Uses a column's values as the new row index and removes that column from the data",
Option,0,"Resets the index back to 0, 1, 2...",
Option,0,"Sets the column names",

NewQuestion,MC,
QuestionText,"In a DataFrame, what is each column?",
Option,0,"A NumPy array",
Option,0,"A Python list",
Option,0,"A pandas Index object",
Option,100,"A pandas Series",

NewQuestion,MC,
QuestionText,"Can different columns in a DataFrame have different data types?",
Option,100,"Yes, each column can have its own dtype",
Option,0,"No, all columns must be the same type like NumPy arrays",
Option,0,"Yes, but only if you use object dtype for everything",
Option,0,"No, DataFrames only support numeric types",

NewQuestion,MC,
QuestionText,"When you create a DataFrame from a list of dictionaries, what does each dictionary represent?",
Option,0,"One column in the DataFrame",
Option,0,"The column names",
Option,100,"One row in the DataFrame",
Option,0,"The data types for each column",

NewQuestion,MC,
QuestionText,"What does the .shape attribute return for a DataFrame?",
Option,0,"The total number of elements",
Option,0,"A tuple (columns, rows)",
Option,0,"A list of column names",
Option,100,"A tuple (rows, columns)",

NewQuestion,MC,
QuestionText,"What is the difference between .dtype (NumPy) and .dtypes (DataFrame)?",
Option,100,".dtype is singular (one type for entire array), .dtypes is plural (one type per column)",
Option,0,"They are the same, just different spelling conventions",
Option,0,".dtype is for DataFrames, .dtypes is for NumPy arrays",
Option,0,".dtypes includes the index dtype, .dtype does not",

NewQuestion,MC,
QuestionText,"What does the .head(3) method return?",
Option,0,"A list of the first 3 column names",
Option,0,"A Series with the first 3 elements",
Option,100,"A DataFrame containing the first 3 rows",
Option,0,"The first 3 values from the index",

NewQuestion,MC,
QuestionText,"What information does the .info() method provide?",
Option,100,"Column names, non-null counts, dtypes, and memory usage",
Option,0,"Only the shape of the DataFrame",
Option,0,"Statistical summaries (mean, standard deviation, etc.)",
Option,0,"The first and last few rows",

NewQuestion,MC,
QuestionText,"What does the .columns attribute return?",
Option,0,"A list of Series objects (the actual columns)",
Option,0,"The data contained in all columns",
Option,0,"The number of columns as an integer",
Option,100,"The column names as an Index object",

NewQuestion,MC,
QuestionText,"What type of object does df['column_name'] return?",
Option,0,"A pandas DataFrame",
Option,100,"A pandas Series",
Option,0,"A NumPy array",
Option,0,"A Python list",

NewQuestion,MC,
QuestionText,"What is the difference between df['col'] and df[['col']]?",
Option,0,"They are identical and can be used interchangeably",
Option,0,"Single brackets are for rows, double brackets are for columns",
Option,100,"Single brackets return a Series, double brackets return a DataFrame",
Option,0,"Double brackets are only for selecting multiple columns",

NewQuestion,MC,
QuestionText,"What does the .loc accessor use for selection?",
Option,100,"Index labels",
Option,0,"Integer positions",
Option,0,"Column names only (not rows)",
Option,0,"Both labels and positions interchangeably",

NewQuestion,MC,
QuestionText,"What does the .iloc accessor use for selection?",
Option,0,"Index labels",
Option,0,"Column names only (not rows)",
Option,0,"Both labels and positions interchangeably",
Option,100,"Integer positions",

NewQuestion,MC,
QuestionText,"In the code df.loc['Alice', 'age'], what are you selecting?",
Option,0,"All values in the Alice column at the age row",
Option,0,"A DataFrame subset containing Alice and age",
Option,0,"A Series containing all of Alice's data",
Option,100,"The value in Alice's row at the age column",

NewQuestion,MC,
QuestionText,"Which code correctly selects multiple rows by label?",
Option,0,"df.iloc[['Alice', 'Bob', 'Charlie']]",
Option,0,"df['Alice', 'Bob', 'Charlie']",
Option,100,"df.loc[['Alice', 'Bob', 'Charlie']]",
Option,0,"df.loc('Alice', 'Bob', 'Charlie')",

NewQuestion,MC,
QuestionText,"For boolean indexing with multiple conditions in pandas, which operator means AND?",
Option,100,"& (ampersand)",
Option,0,"and (Python keyword)",
Option,0,"&& (double ampersand)",
Option,0,"AND (capitalized keyword)",

NewQuestion,MC,
QuestionText,"What does df[df['age'] > 25] return?",
Option,0,"A boolean Series with True/False values for each row",
Option,0,"A single row with the maximum age value",
Option,100,"A DataFrame containing only rows where age is greater than 25",
Option,0,"An error (you must use .loc for filtering)",

NewQuestion,MC,
QuestionText,"What happens when you add two Series with different indices? s1 = pd.Series([10, 20], index=['A', 'B']) and s2 = pd.Series([5, 15], index=['B', 'C']). What is s1 + s2?",
Option,100,"pandas aligns by label: B is computed (35), A and C become NaN",
Option,0,"An error occurs because indices must match exactly",
Option,0,"Values are added by position: result has index ['A', 'B'] with values [15, 35]",
Option,0,"Only the first matching label is computed, others are ignored",

NewQuestion,MC,
QuestionText,"What does NaN represent in pandas?",
Option,0,"An error that caused the operation to crash",
Option,0,"A very large number (like infinity)",
Option,0,"The literal string 'NaN'",
Option,100,"Missing or undefined data (Not a Number)",

NewQuestion,MC,
QuestionText,"Why is automatic alignment by labels important in pandas?",
Option,0,"It makes operations execute faster",
Option,100,"It prevents accidentally combining misaligned data",
Option,0,"It reduces memory usage",
Option,0,"It automatically sorts the data alphabetically",

NewQuestion,MC,
QuestionText,"Which code correctly creates a new column that is the sum of two existing columns?",
Option,0,"df.add_column('total', df['col1'] + df['col2'])",
Option,100,"df['total'] = df['col1'] + df['col2']",
Option,0,"df.insert('total', df['col1'] + df['col2'])",
Option,0,"df.create_column('total', df['col1'] + df['col2'])",

NewQuestion,MC,
QuestionText,"What does axis=0 mean in df.mean(axis=0)?",
Option,100,"Compute down the rows, giving one mean per column",
Option,0,"Compute across the columns, giving one mean per row",
Option,0,"Compute only for column at position 0",
Option,0,"Return a single scalar mean of the entire DataFrame",

NewQuestion,MC,
QuestionText,"What does the .describe() method provide?",
Option,100,"Statistical summary including mean, std, min, quartiles, and max",
Option,0,"Only the mean and standard deviation",
Option,0,"The first and last rows of the DataFrame",
Option,0,"Column names and data types",

NewQuestion,M,
QuestionText,"Match each accessor or attribute with what it's used for.",
Choice,1,".loc",
Match,1,"Label-based selection",
Choice,2,".iloc",
Match,2,"Position-based selection (integer)",
Choice,3,".values",
Match,3,"Returns the underlying NumPy array",
Choice,4,".index",
Match,4,"Returns the Index object with row labels",

NewQuestion,M,
QuestionText,"Match each selection method with the type of object it returns.",
Choice,1,"df['column']",
Match,1,"Series (single column)",
Choice,2,"df[['column']]",
Match,2,"DataFrame (one column as DataFrame)",
Choice,3,"df.loc['row']",
Match,3,"Series (single row)",
Choice,4,"df.mean()",
Match,4,"Series (one mean value per column)",

NewQuestion,M,
QuestionText,"Match each DataFrame attribute with what it returns.",
Choice,1,".shape",
Match,1,"Tuple of dimensions (rows, columns)",
Choice,2,".dtypes",
Match,2,"Data type of each column",
Choice,3,".columns",
Match,3,"Column names as an Index",
Choice,4,".size",
Match,4,"Total number of elements (rows × columns)",

NewQuestion,M,
QuestionText,"Match each data structure with what it adds to the workflow.",
Choice,1,"Python list",
Match,1,"Basic ordered collection, mutable",
Choice,2,"NumPy array",
Match,2,"Vectorized operations, homogeneous type",
Choice,3,"pandas Series",
Match,3,"Labels on 1D array data",
Choice,4,"pandas DataFrame",
Match,4,"Labels on 2D table, mixed column types",

NewQuestion,MS,
QuestionText,"Which of the following are valid ways to create a pandas Series? (Select all that apply.)",
Option,1,"pd.Series([1, 2, 3])",
Option,1,"pd.Series({'a': 1, 'b': 2, 'c': 3})",
Option,0,"pd.Series(1, 2, 3)",
Option,0,"Series([1, 2, 3])",

NewQuestion,MS,
QuestionText,"Which statements about pandas Series are TRUE? (Select all that apply.)",
Option,1,"A Series has an index that labels each value",
Option,1,"A Series is built on top of a NumPy array",
Option,1,"A Series supports vectorized operations like addition and multiplication",
Option,0,"A Series can contain mixed data types (like strings and numbers) in a single Series",

NewQuestion,MS,
QuestionText,"Which of the following are valid ways to create a pandas DataFrame? (Select all that apply.)",
Option,1,"pd.DataFrame({'col1': [1, 2], 'col2': [3, 4]})",
Option,1,"pd.DataFrame([{'a': 1, 'b': 2}, {'a': 3, 'b': 4}])",
Option,0,"DataFrame({'col': [1, 2]})",
Option,0,"pd.DataFrame(1, 2, 3, 4)",

NewQuestion,MS,
QuestionText,"The .loc accessor can be used to select: (Select all that apply.)",
Option,1,"Rows by label",
Option,1,"Columns by name",
Option,1,"Both rows and columns together",
Option,0,"Rows by integer position (that's .iloc)",

NewQuestion,MS,
QuestionText,"The .iloc accessor can be used to select: (Select all that apply.)",
Option,1,"Rows by integer position",
Option,1,"Columns by integer position",
Option,1,"Both rows and columns together",
Option,0,"Rows by label (that's .loc)",

NewQuestion,MS,
QuestionText,"Which statements correctly describe how pandas differs from NumPy? (Select all that apply.)",
Option,1,"pandas data structures have index labels",
Option,1,"pandas DataFrames allow different types in different columns",
Option,1,"pandas automatically aligns data by labels during operations",
Option,0,"pandas cannot perform vectorized operations (NumPy-only feature)",

NewQuestion,MS,
QuestionText,"When performing operations on two Series with different indices, pandas will: (Select all that apply.)",
Option,1,"Align values by matching index labels",
Option,1,"Use NaN for labels that appear in one Series but not the other",
Option,1,"Prevent accidental misalignment of data",
Option,0,"Raise an error like NumPy does with mismatched array lengths",

NewQuestion,MS,
QuestionText,"Which statements about the axis parameter are TRUE? (Select all that apply.)",
Option,1,"axis=0 means operate down the rows (one result per column)",
Option,1,"axis=1 means operate across the columns (one result per row)",
Option,1,"axis=0 collapses the rows, keeping the columns",
Option,0,"axis=0 means 'only use column at position 0'",

NewQuestion,MS,
QuestionText,"For boolean indexing with multiple conditions in pandas, you must: (Select all that apply.)",
Option,1,"Use & for AND operations",
Option,1,"Use | for OR operations",
Option,1,"Use parentheses around each condition",
Option,0,"Use the keywords 'and' and 'or' (Python keywords)",

NewQuestion,MS,
QuestionText,"The .describe() method provides: (Select all that apply.)",
Option,1,"Mean (average)",
Option,1,"Standard deviation",
Option,1,"Minimum and maximum values",
Option,1,"Quartiles (25%, 50%, 75%)",
Option,0,"Correlation between columns (that's .corr())",
