NewQuestion,MC,
QuestionText,"What does isnull() return when called on a DataFrame?",
Option,0,"Removes all rows from the DataFrame that match the condition",

NewQuestion,MC,
QuestionText,"A column has one extreme outlier and one missing value. You remove the outlier by replacing it with NaN, then fill all NaN values in the column. Why use the median instead of the mean for the fill?",
Option,0,"The median is always the correct choice for filling any missing value regardless of context",
Option,0,"The mean cannot be computed when a column contains any NaN values",
Option,100,"The median is resistant to extreme values, making it a more representative fill for the typical values in the column",
Option,0,"pandas requires the use of the median when filling values that were previously identified as outliers",

NewQuestion,MC,
QuestionText,"What does pd.cut() assign to a value that falls outside all defined bin edges?",
Option,0,"It raises a ValueError and stops execution",
Option,0,"It places the value in the nearest bin automatically",
Option,0,"It assigns the value to a catch-all overflow category",
Option,100,"NaN",

NewQuestion,MC,
QuestionText,"You define bins=[0, 10, 50, 100] for pd.cut(). How many labels do you need to provide?",
Option,100,"3, because labels name the intervals between edges, and there is always one fewer interval than there are edges",
Option,0,"4, because each edge needs a corresponding label",
Option,0,"2, because only the two inner edges create intervals",
Option,0,"Labels are optional; pd.cut() generates default labels if none are provided",

NewQuestion,MC,
QuestionText,"You run pd.cut() on a column that contains an outlier well above your largest bin edge. What happens to the row containing that outlier?",
Option,0,"It is placed in the highest bin automatically",
Option,100,"It receives NaN because the value falls outside all defined intervals",
Option,0,"pd.cut() raises an error and stops execution when a value exceeds the bin range",
Option,0,"The bin edges are extended automatically to include any outlying values",

NewQuestion,MC,
QuestionText,"What does the str accessor in pandas allow you to do?",
Option,0,"Convert a string column to a numeric type without additional steps",
Option,0,"Access the raw bytes of string values for memory-level operations",
Option,0,"Apply a single string method to one value at a time using indexing",
Option,100,"Apply string methods to every value in a Series column at once without writing a loop",

NewQuestion,MC,
QuestionText,"What does str.strip() do to string values in a column?",
Option,0,"Removes all spaces from within each string, including internal spaces",
Option,0,"Removes punctuation from the beginning and end of each value",
Option,100,"Removes leading and trailing whitespace from each value",
Option,0,"Splits each value on whitespace and returns a list of words",

NewQuestion,MC,
QuestionText,"What does str.contains('keyword') return?",
Option,100,"A boolean Series with True for each row where the column value includes the substring",
Option,0,"A filtered DataFrame containing only the rows where a match was found",
Option,0,"A list of the values that contain the substring",
Option,0,"An integer count of how many rows contain the substring",

NewQuestion,MC,
QuestionText,"What does str.title() do to string values?",
Option,0,"Converts all characters to uppercase",
Option,100,"Capitalizes the first letter of each word and lowercases the rest",
Option,0,"Converts all characters to lowercase",
Option,0,"Removes numbers and symbols, keeping only alphabetic characters",

NewQuestion,MC,
QuestionText,"A column contains 'Tech', 'TECH', and 'tech'. You filter rows using str.contains('tech') before calling str.lower(). Which rows does the filter return?",
Option,0,"All three rows, because str.contains() is case-insensitive by default",
Option,0,"The rows with 'TECH' and 'tech' only, because both contain the letters t-e-c-h",
Option,0,"No rows, because none of the values exactly equal 'tech'",
Option,100,"Only the row with 'tech', because str.contains() is case-sensitive by default",

NewQuestion,MC,
QuestionText,"Why must case standardization happen before grouping or counting by a string column?",
Option,0,"pandas raises an error when value_counts() is called on a column with mixed case values",
Option,0,"value_counts() can only operate on columns that have been converted to lowercase",
Option,100,"Without standardization, 'Cargo', 'CARGO', and 'cargo' are counted as three separate categories instead of one",
Option,0,"Grouping operations automatically convert all values to uppercase, overwriting the original casing",

NewQuestion,M,
QuestionText,"Match each missing data operation with what it does.",
Choice,1,"isnull().sum()",
Match,1,"Counts missing values in each column",
Choice,2,"dropna()",
Match,2,"Removes rows containing at least one missing value",
Choice,3,"fillna(value)",
Match,3,"Replaces missing values with a specified value or computed result",
Choice,4,"pd.to_numeric(errors='coerce')",
Match,4,"Converts a column to numeric type and turns non-convertible strings into NaN",
Choice,5,"dropna(subset=[...])",
Match,5,"Removes rows only when specific columns contain missing values",

NewQuestion,M,
QuestionText,"Match each data transformation operation with what it does.",
Choice,1,"drop_duplicates()",
Match,1,"Removes rows that are exact copies of other rows",
Choice,2,"map(dict)",
Match,2,"Replaces existing column values using a dictionary lookup",
Choice,3,"rename(columns={...})",
Match,3,"Changes column names",
Choice,4,".loc[condition, col] = value",
Match,4,"Replaces values in place for all rows matching a condition",
Choice,5,"pd.cut()",
Match,5,"Divides a continuous numeric column into labeled intervals",

NewQuestion,M,
QuestionText,"Match each string accessor method with what it does.",
Choice,1,"str.strip()",
Match,1,"Removes leading and trailing whitespace",
Choice,2,"str.lower()",
Match,2,"Converts all characters to lowercase",
Choice,3,"str.upper()",
Match,3,"Converts all characters to uppercase",
Choice,4,"str.title()",
Match,4,"Capitalizes the first letter of each word",
Choice,5,"str.contains(substr)",
Match,5,"Returns True for each value that includes the specified substring",

NewQuestion,M,
QuestionText,"Match each parameter with what it controls.",
Choice,1,"errors='coerce' in pd.to_numeric()",
Match,1,"Replaces non-convertible values with NaN instead of raising an error",
Choice,2,"subset in dropna()",
Match,2,"Limits which columns can trigger a row being dropped",
Choice,3,"bins in pd.cut()",
Match,3,"Defines the boundary edges of each interval",
Choice,4,"labels in pd.cut()",
Match,4,"Assigns names to the intervals between bin edges",
Choice,5,"subset in drop_duplicates()",
Match,5,"Specifies which columns determine whether rows are duplicates",

NewQuestion,MS,
QuestionText,"Which statements about isnull() are TRUE? (Select all that apply.)",
Option,1,"It returns a boolean result for every cell in the DataFrame",
Option,1,"Calling .sum() on the result gives the count of missing values per column",
Option,1,"A column with sentinel strings like 'UNKNOWN' will show zero missing values from isnull()",
Option,0,"It automatically removes rows that contain missing values",

NewQuestion,MS,
QuestionText,"Which are valid approaches to filling missing values with fillna()? (Select all that apply.)",
Option,1,"Filling with a constant value such as 0",
Option,1,"Filling with the column mean",
Option,1,"Filling with the column median",
Option,0,"Passing 'drop' as the fill value to remove missing rows",

NewQuestion,MS,
QuestionText,"In which situations is the median a better fill value than the mean? (Select all that apply.)",
Option,1,"When the column contains one or more extreme outliers",
Option,1,"When the distribution of values is heavily skewed",
Option,1,"When you want the fill to represent the middle of the typical values rather than the average pulled by extremes",
Option,0,"When all values in the column are close to the same magnitude",

NewQuestion,MS,
QuestionText,"Which statements about drop_duplicates() are TRUE? (Select all that apply.)",
Option,1,"By default, it compares all columns when identifying duplicate rows",
Option,1,"It keeps the first occurrence of each duplicate and removes the rest",
Option,1,"The subset parameter lets you limit which columns define a duplicate",
Option,0,"It modifies the DataFrame in place without returning a new object",

NewQuestion,MS,
QuestionText,"Which of the following should be true before running pd.cut() for meaningful results? (Select all that apply.)",
Option,1,"The column being binned should be a numeric type",
Option,1,"Outliers that exceed the largest bin edge should be addressed first",
Option,1,"The number of labels provided should be one fewer than the number of bin edges",
Option,0,"The column must contain no missing values or pd.cut() will raise an error",

NewQuestion,MS,
QuestionText,"Which statements about the str accessor in pandas are TRUE? (Select all that apply.)",
Option,1,"It applies string methods to every value in a column at once",
Option,1,"Standard Python string methods like strip() and lower() are available through the str accessor",
Option,1,"It returns a new Series rather than modifying the column in place",
Option,0,"It can only be used after converting the column to a special string dtype",

NewQuestion,MS,
QuestionText,"Why should case standardization happen before using str.contains() for filtering? (Select all that apply.)",
Option,1,"str.contains() is case-sensitive by default, so 'Tech' and 'tech' are treated as different substrings",
Option,1,"Without standardization, the filter may miss valid matches that use different casing",
Option,1,"Standardizing first ensures that value_counts() and grouping operations produce accurate category counts",
Option,0,"str.contains() raises a TypeError if the column contains any uppercase characters",

NewQuestion,MS,
QuestionText,"Which of the following are covered in Chapter 7 of the textbook but not demonstrated in the Week 10 demo? (Select all that apply.)",
Option,1,"Forward fill and back fill strategies using fillna() with a method parameter",
Option,1,"Value substitution with replace()",
Option,1,"Regular expressions for pattern-based string manipulation",
Option,0,"Removing duplicate rows with drop_duplicates()",
