NewQuestion,MC,
QuestionText,"When you run `with open(filename, "r", encoding="utf-8") as f:`, what does `"r"` mean?",
QuestionText,"A dataset is stored as a CSV-style file with this structure: - The header row lists 5 fields: timestamp, user, endpoint, status, ms - Each data row should have exactly 5 comma-separated values. Which row is most likely to trigger a "wrong number of fields" error in a parser that requires exactly 5 fields?",
Option,100,"2026-01-19T09:01:26,bob,/items,200",
Option,0,"2026-01-19T09:01:10,alice,/home,200,34",
Option,0,"2026-01-19T09:01:21,frank,/search,200,40",
Option,0,"2026-01-19T09:01:12,bob,/login,401,18",

NewQuestion,MC,
QuestionText,"In this dataset, the last field `ms` represents a response time in milliseconds and must be converted to an integer. Which row is most likely to fail when the parser tries to convert `ms` using `int(ms)`?",
Option,100,"2026-01-19T09:01:16,dan,/home,200,not_a_number",
Option,0,"2026-01-19T09:01:20,erin,/search,200,44",
Option,0,"2026-01-19T09:01:25,alice,/checkout,200,62",
Option,0,"2026-01-19T09:01:13,alice,/items,200,51",

NewQuestion,MC,
QuestionText,"The parser returns a dictionary when it succeeds. Which is the best description of why that is useful?",
Option,100,"You can access values by field name (like `"status"`), which makes later analysis clearer",
Option,0,"Dictionaries are always faster than lists",
Option,0,"Dictionaries automatically remove bad rows",
Option,0,"Dictionaries keep values in sorted order by default",

NewQuestion,MC,
QuestionText,"In the safe-reading loop, what is the purpose of wrapping parsing in `try/except`?",
Option,0,"To make the code run faster",
Option,100,"To keep processing even if some rows fail to parse",
Option,0,"To force every row to be included",
Option,0,"To convert all strings into numbers automatically",

NewQuestion,MC,
QuestionText,"If `parse_log_line(line)` raises an error inside the loop, what happens in the `except` block?",
Option,100,"We count the failure and record an error message, then continue",
Option,0,"The program crashes immediately",
Option,0,"The header is removed from the file",
Option,0,"The row is automatically fixed and re-parsed",

NewQuestion,MS,
QuestionText,"(Select all that apply.) Which are reasonable things to track when rows fail to parse?",
Option,1,"How many rows failed",
Option,1,"A few example error messages",
Option,1,"Which specific lines could not be parsed",
Option,0,"A complete rewrite of the original dataset in memory",
Option,1,"A new file extension for the CSV",

NewQuestion,MC,
QuestionText,"Why is it useful to store just the first few error messages (for example, `errors[:3]`)?",
Option,100,"It gives you concrete examples of what went wrong without flooding the output",
Option,0,"It guarantees there are only three errors total",
Option,0,"It automatically fixes the rest of the errors",
Option,0,"It prevents the program from reading the file",

NewQuestion,MC,
QuestionText,"What does `continue` do inside an `except` block in a loop?",
Option,0,"It stops the entire program",
Option,100,"It skips the rest of the current loop iteration and moves to the next line",
Option,0,"It re-runs the same line until it works",
Option,0,"It deletes the bad line from the file",

NewQuestion,MS,
QuestionText,"(Select all that apply.) Which statements describe the "bad row" outcome in this workflow?",
Option,1,"The bad row is not added to the cleaned dataset",
Option,1,"The workflow still completes and produces results from the valid rows",
Option,1,"The error can be used to diagnose problems in the dataset",
Option,0,"The bad row is automatically corrected and kept",

NewQuestion,MC,
QuestionText,"In a data workflow, why is "crashing on the first bad row" usually a problem?",
Option,100,"Because one bad record can prevent you from analyzing thousands of good records",
Option,0,"Because it always produces incorrect statistics",
Option,0,"Because Python cannot handle text files",
Option,0,"Because exceptions cannot be used in loops",

NewQuestion,MC,
QuestionText,"Suppose you change the `except Exception as e:` to `except ValueError as e:` in the safe-reading loop. What is the main difference?",
Option,100,"It will only catch `ValueError` exceptions, not other exception types",
Option,0,"It will catch more errors than before",
Option,0,"It will automatically fix malformed rows",
Option,0,"The loop will never catch any errors",

NewQuestion,MC,
QuestionText,"In this workflow, what does `good_rows` represent after cleaning?",
Option,0,"A set of unique endpoints",
Option,100,"A list of dictionary records (one per valid row)",
Option,0,"A dictionary of counts by status code",
Option,0,"A single dictionary record",

NewQuestion,MC,
QuestionText,"What is the key difference between a list and a set?",
Option,100,"Sets store unique values only; lists can contain duplicates",
Option,0,"Lists can store strings but sets cannot",
Option,0,"Sets preserve insertion order but lists do not",
Option,0,"Lists are only used for counting",

NewQuestion,MC,
QuestionText,"What does `set(users)` do?",
Option,100,"Converts the list into a set, removing duplicates",
Option,0,"Converts each username into an integer",
Option,0,"Sorts the list of users alphabetically",
Option,0,"Converts the list into a dictionary of counts",

NewQuestion,MS,
QuestionText,"(Select all that apply.) Which are good reasons to use a set in data exploration?",
Option,1,"To find how many distinct values appear",
Option,1,"To quickly test membership (e.g., `"alice" in unique_users`)",
Option,1,"To remove duplicates from a list-like collection",
Option,0,"To count how many times each value appears",

NewQuestion,MC,
QuestionText,"In a "counting dictionary" like `counts_by_status`, what do the keys and values represent?",
Option,100,"keys = categories being counted, values = how many times each occurs",
Option,0,"keys = row numbers, values = status codes",
Option,0,"keys = timestamps, values = endpoints",
Option,0,"keys = errors, values = raw lines",

NewQuestion,MC,
QuestionText,"What does `counts_by_status.get(s, 0)` mean?",
Option,100,"Return the current count for key `s`, or 0 if `s` is not in the dictionary yet",
Option,0,"Always return 0",
Option,0,"Remove the key `s` from the dictionary",
Option,0,"Convert `s` into an integer",

NewQuestion,MC,
QuestionText,"What does `.items()` return for a dictionary?",
Option,100,"An iterable of (key, value) pairs",
Option,0,"A list of only values",
Option,0,"A set of values only",
Option,0,"A list of only keys",

NewQuestion,MS,
QuestionText,"(Select all that apply.) Which statements correctly describe tuples like `(endpoint, count)`?",
Option,1,"A tuple groups multiple values into one object",
Option,1,"Tuples are ordered (indexable by position)",
Option,1,"Tuples are commonly used for key/value pairs from dictionaries",
Option,0,"Tuples automatically remove duplicates",

NewQuestion,MC,
QuestionText,"What is the purpose of the `key=` argument in functions like `sorted(...)`?",
Option,100,"It tells Python what value to use for comparison when ordering items",
Option,0,"It removes duplicate items",
Option,0,"It forces values to become integers",
Option,0,"It tells Python which file to read",

NewQuestion,MS,
QuestionText,"(Select all that apply.) Which built-in functions commonly accept `key=`?",
Option,1,"`sorted(...)`",
Option,1,"`max(...)`",
Option,1,"`min(...)`",
Option,0,"`print(...)`",
Option,0,"`open(...)`",

NewQuestion,MC,
QuestionText,"In `key=lambda pair: pair[1]`, what is the lambda returning?",
Option,100,"The second element of the tuple (the count)",
Option,0,"The whole tuple unchanged",
Option,0,"The first character of the endpoint string",
Option,0,"A new dictionary",

NewQuestion,MC,
QuestionText,"Why might a programmer use `lambda` instead of defining a named function with `def`?",
Option,100,"Because it's a compact way to write a small one-time function inline",
Option,0,"Because lambda functions run in parallel",
Option,0,"Because `def` cannot be used with `sorted`",
Option,0,"Because lambda automatically handles exceptions",

NewQuestion,MC,
QuestionText,"What is a generator most directly described as?",
Option,100,"A function (or expression) that produces values one at a time during iteration",
Option,0,"A list that is always sorted",
Option,0,"A dictionary that counts values",
Option,0,"A file format used by Python",

NewQuestion,MC,
QuestionText,"What does `yield` do in a generator function?",
Option,100,"It produces one value and pauses the function until the next value is requested",
Option,0,"It returns a list of all results at once",
Option,0,"It stops the program immediately",
Option,0,"It converts a string into an integer",

NewQuestion,MS,
QuestionText,"(Select all that apply.) Why might you choose a generator approach for reading a large file?",
Option,1,"It can use less memory because it doesn't store every row at once",
Option,1,"It allows you to process one row at a time as you iterate",
Option,1,"It can start producing results before the whole file is read",
Option,0,"It automatically fixes bad rows",

NewQuestion,MS,
QuestionText,"(Select all that apply.) Why might you still choose a list-based approach instead of a generator?",
Option,1,"You want to reuse the cleaned dataset multiple times without re-reading the file",
Option,1,"You want easy random access (like `rows[0]` or slicing)",
Option,1,"The dataset is small enough that memory is not a concern",
Option,0,"Generators cannot be used with loops",

NewQuestion,MC,
QuestionText,"You are given a CSV-style log file with a header row and thousands of data rows. Some rows are malformed (missing fields or non-numeric values). Your goal is to compute summary statistics from the valid rows without the program stopping partway through. Which approach best matches a robust Chapter 3 workflow?",
Option,100,"Loop through the data rows, try to parse each row, keep valid records, and handle failures with try/except",
Option,0,"Convert the entire file into integers first, then decide what the header means",
Option,0,"Read only the header row, then assume all remaining rows are valid",
Option,0,"Print the file to the screen and manually remove bad rows before writing any code",

NewQuestion,MC,
QuestionText,"You run a notebook that creates a file using a relative path like "data/log.csv". After the notebook runs, you cannot find the file where you expected. Which explanation is most accurate?",
Option,100,"Relative paths are resolved from the current working directory where the notebook is running",
Option,0,"Python always writes files into your home directory regardless of your code",
Option,0,"The file is stored inside the notebook file itself unless you export it",
Option,0,"Jupyter always writes files into the folder where Python is installed",

NewQuestion,MC,
QuestionText,"You are processing a text file where each line represents one record. You need to keep the program running even if some records are invalid. Which outcome is the most appropriate use of exceptions in this context?",
Option,100,"Use exceptions to detect invalid rows and skip them while tracking how many failed",
Option,0,"Raise an exception on the first invalid row so the program stops immediately",
Option,0,"Avoid exceptions entirely by deleting all lines that contain commas",
Option,0,"Replace try/except with print statements inside the parser so errors never occur",

NewQuestion,MC,
QuestionText,"You are building two summaries from the same dataset: - A list of unique users - A count of how many times each status code appears Which pair of Python structures best matches these two tasks?",
Option,100,"Unique users: set; status counts: dictionary",
Option,0,"Unique users: list; status counts: set",
Option,0,"Unique users: dictionary; status counts: list",
Option,0,"Unique users: tuple; status counts: string",

NewQuestion,MS,
QuestionText,"(Select all that apply.) You want to build a dataset in memory from a CSV-style file so you can analyze it later. You choose a list of dictionaries, where each dictionary is one record. Which are valid reasons for this choice?",
Option,1,"Each record stays grouped together (field names map directly to values)",
Option,1,"You can later filter, count, and summarize by accessing fields by name",
Option,1,"It matches the "one row = one record" mental model used in many analytics workflows",
Option,0,"It guarantees all rows are valid without writing validation code",
Option,1,"It automatically sorts the dataset by timestamp",

NewQuestion,MS,
QuestionText,"(Select all that apply.) A teammate suggests reading the entire file into memory with `.read().splitlines()`. Another suggests reading one line at a time in a loop. Which statements correctly describe the tradeoff?",
Option,1,"Reading all lines is often simpler for small datasets and allows reusing the data without re-reading the file",
Option,1,"Reading one line at a time can use less memory for large files",
Option,1,"Reading all lines can be inefficient or impossible if the file is extremely large",
Option,0,"Reading one line at a time prevents you from using `for` loops",
Option,0,"Reading all lines automatically skips malformed rows",

