NewQuestion,MC,
QuestionText,"What does pd.read_csv() return?",
QuestionText,"What does the na_values parameter tell pd.read_csv()?",
Option,0,"What value to use when replacing missing data",
Option,0,"Which columns are allowed to have missing values",
Option,100,"Which additional strings should be treated as missing data during loading",
Option,0,"How many missing values are acceptable before raising an error",

NewQuestion,MC,
QuestionText,"Why does an integer column become float64 when it contains missing values (NaN)?",
Option,0,"pandas always converts integers to floats during loading",
Option,0,"The na_values parameter forces float conversion",
Option,0,"Float columns load faster than integer columns",
Option,100,"NaN is a floating-point value, so the column must be float to accommodate it",

NewQuestion,MC,
QuestionText,"What does pd.read_csv('file.csv', header=None) produce for column names?",
Option,100,"Integer column names (0, 1, 2, 3...)",
Option,0,"Empty strings for each column",
Option,0,"Letters (A, B, C, D...)",
Option,0,"The first row of data as column names",

NewQuestion,MC,
QuestionText,"When you call df.to_csv('output.csv') with default settings, what extra column appears in the output file?",
Option,0,"A column with the data types",
Option,0,"A column with row counts",
Option,100,"The row index (0, 1, 2...)",
Option,0,"No extra column appears by default",

NewQuestion,MC,
QuestionText,"How do you write a DataFrame to CSV without including the row index?",
Option,0,"df.to_csv('file.csv', header=False)",
Option,100,"df.to_csv('file.csv', index=False)",
Option,0,"df.to_csv('file.csv', drop_index=True)",
Option,0,"df.to_csv('file.csv', no_index=True)",

NewQuestion,MC,
QuestionText,"What is the common workflow pattern for to_csv()?",
Option,0,"Write the DataFrame, then read it back and compare manually",
Option,0,"Export to CSV, then convert to Excel format",
Option,0,"Save a backup before any analysis",
Option,100,"Load data, process or transform it, then save the results",

NewQuestion,MC,
QuestionText,"In JSON, what Python data structure is equivalent to a JSON object?",
Option,100,"A dictionary",
Option,0,"A list",
Option,0,"A tuple",
Option,0,"A set",

NewQuestion,MC,
QuestionText,"What does json.loads() do?",
Option,0,"Loads a JSON file from disk into memory",
Option,100,"Parses a JSON string into Python objects (dicts, lists, etc.)",
Option,0,"Converts a Python dictionary to a JSON string",
Option,0,"Downloads JSON data from a URL",

NewQuestion,MC,
QuestionText,"What does json.dumps() do?",
Option,0,"Deletes JSON data from memory",
Option,0,"Parses a JSON string into Python objects",
Option,100,"Converts Python objects to a JSON string",
Option,0,"Writes a JSON file to disk",

NewQuestion,MC,
QuestionText,"When should you use json.loads() + pd.DataFrame() instead of pd.read_json()?",
Option,0,"When the JSON file is very large",
Option,0,"When you want the result as a Series instead of a DataFrame",
Option,0,"When the JSON data is a simple list of objects with consistent keys",
Option,100,"When the JSON has nested structures and you need to extract specific parts",

NewQuestion,MC,
QuestionText,"What does requests.get(url) do?",
Option,100,"Sends an HTTP GET request to the specified URL",
Option,0,"Downloads and saves a file from the URL to disk",
Option,0,"Opens a web browser to the specified URL",
Option,0,"Parses the HTML content of a web page",

NewQuestion,MC,
QuestionText,"What does resp.raise_for_status() do after making an API request?",
Option,0,"Prints the HTTP status code to the console",
Option,100,"Raises an exception if the request failed (non-200 status code)",
Option,0,"Returns the response data as a dictionary",
Option,0,"Converts the response to a pandas DataFrame",

NewQuestion,MC,
QuestionText,"What does the .json() method on a response object do?",
Option,0,"Checks if the response is valid JSON format",
Option,0,"Saves the response as a JSON file",
Option,100,"Parses the JSON response into Python objects (equivalent to json.loads())",
Option,0,"Converts the response headers to a dictionary",

NewQuestion,MC,
QuestionText,"What is the typical data format returned by a web API?",
Option,0,"CSV",
Option,0,"HTML",
Option,0,"XML",
Option,100,"JSON",

NewQuestion,MC,
QuestionText,"Which pandas function would you use to read an Excel file?",
Option,0,"pd.read_csv() with a .xlsx filename",
Option,0,"pd.load_excel()",
Option,100,"pd.read_excel()",
Option,0,"pd.import_excel()",

NewQuestion,MC,
QuestionText,"What do all the pd.read_*() functions have in common?",
Option,0,"They all require the same parameters",
Option,100,"They all load data into a DataFrame",
Option,0,"They all read from local files only",
Option,0,"They all return the same data types",

NewQuestion,M,
QuestionText,"Match each pd.read_csv() parameter with what it controls.",
Choice,1,"header=None",
Match,1,"Tells pandas the file has no header row",
Choice,2,"names",
Match,2,"Supplies custom column names",
Choice,3,"index_col",
Match,3,"Sets a column as the row index during loading",
Choice,4,"na_values",
Match,4,"Specifies which strings represent missing data",
Choice,5,"usecols",
Match,5,"Selects only certain columns to load",

NewQuestion,M,
QuestionText,"Match each data format with its primary characteristic.",
Choice,1,"CSV",
Match,1,"Flat tabular format with comma-separated fields",
Choice,2,"JSON",
Match,2,"Flexible format built from nested objects and arrays",
Choice,3,"Parquet",
Match,3,"Binary columnar format optimized for analytics",
Choice,4,"SQL database",
Match,4,"Relational storage queried with structured query language",

NewQuestion,M,
QuestionText,"Match each function or method with what it does.",
Choice,1,"json.loads()",
Match,1,"Parses a JSON string into Python objects",
Choice,2,"json.dumps()",
Match,2,"Converts Python objects to a JSON string",
Choice,3,"requests.get()",
Match,3,"Sends an HTTP request to a URL",
Choice,4,"resp.json()",
Match,4,"Parses an HTTP response body as JSON",

NewQuestion,M,
QuestionText,"Match each manual parsing step with what pd.read_csv() does automatically.",
Choice,1,"open() the file",
Match,1,"Opens and reads the file from the path you provide",
Choice,2,".split(',') each row",
Match,2,"Splits fields on the delimiter (comma by default)",
Choice,3,".strip() whitespace",
Match,3,"Strips leading and trailing whitespace from values",
Choice,4,"int() and float() conversion",
Match,4,"Infers and converts data types for each column",

NewQuestion,MS,
QuestionText,"What does pd.read_csv() handle automatically when reading a well-formatted CSV file? (Select all that apply.)",
Option,1,"Detecting and using the header row for column names",
Option,1,"Splitting each line into fields on commas",
Option,1,"Inferring data types for each column",
Option,0,"Removing duplicate rows from the data",

NewQuestion,MS,
QuestionText,"Which of the following are valid pd.read_csv() parameters covered in this chapter? (Select all that apply.)",
Option,1,"header",
Option,1,"na_values",
Option,1,"usecols",
Option,0,"drop_duplicates",

NewQuestion,MS,
QuestionText,"Which statements about na_values in pd.read_csv() are TRUE? (Select all that apply.)",
Option,1,"It tells pandas which strings to treat as missing data",
Option,1,"Values matched by na_values are replaced with NaN",
Option,1,"Custom placeholders like 'UNKNOWN' must be specified explicitly",
Option,0,"It automatically detects all possible missing value formats without configuration",

NewQuestion,MS,
QuestionText,"Which statements about JSON are TRUE? (Select all that apply.)",
Option,1,"JSON objects correspond to Python dictionaries",
Option,1,"JSON arrays correspond to Python lists",
Option,1,"JSON is the standard format for web API responses",
Option,0,"JSON can only represent flat tabular data (no nesting)",

NewQuestion,MS,
QuestionText,"When working with a web API response in Python, which steps are part of the typical workflow? (Select all that apply.)",
Option,1,"Send an HTTP request with requests.get()",
Option,1,"Check the response status with raise_for_status()",
Option,1,"Parse the JSON response with .json()",
Option,0,"Save the response to a CSV file before you can use it",

NewQuestion,MS,
QuestionText,"Which of the following are reasons to use json.loads() + pd.DataFrame() instead of pd.read_json()? (Select all that apply.)",
Option,1,"The JSON has nested structures you need to navigate",
Option,1,"You only want part of the JSON data",
Option,1,"You need to inspect the data before converting to a DataFrame",
Option,0,"The JSON is a simple flat list of objects with consistent keys",

NewQuestion,MS,
QuestionText,"Which statements about to_csv() are TRUE? (Select all that apply.)",
Option,1,"By default, it writes the row index as the first column",
Option,1,"Setting index=False prevents the index from being written",
Option,0,"It requires you to specify column names each time",
Option,0,"It can only write files with comma delimiters",

NewQuestion,MS,
QuestionText,"Chapter 6 in the textbook covers data loading formats beyond CSV and JSON. Which of the following are mentioned? (Select all that apply.)",
Option,1,"HTML tables with pd.read_html()",
Option,1,"Excel files with pd.read_excel()",
Option,1,"Binary formats like HDF5 and Parquet",
Option,0,"Image files with pd.read_image()",
