NewQuestion,MC,
QuestionText,"What is the primary advantage of NumPy arrays over Python lists for numerical computations?",
QuestionText,"What are universal functions (ufuncs) in NumPy?",
Option,0,"Functions that work on any data type",
Option,100,"Fast element-wise functions like np.sqrt(), np.exp(), np.sin()",
Option,0,"Functions that create universal arrays",
Option,0,"Functions that can be applied to lists and arrays equally",

NewQuestion,MS,
QuestionText,"Which arithmetic operations are vectorized in NumPy? (Select all that apply)",
Option,1,"Addition: arr1 + arr2",
Option,1,"Multiplication: arr1 * arr2",
Option,1,"Division: arr1 / arr2",
Option,1,"Exponentiation: arr1 ** 2",

NewQuestion,MC,
QuestionText,"What happens when you add two NumPy arrays of the same shape?",
Option,0,"NumPy concatenates them into a longer array",
Option,0,"NumPy raises an error",
Option,0,"NumPy adds the first array to each element of the second",
Option,100,"NumPy performs element-wise addition",

NewQuestion,MC,
QuestionText,"For arr = np.array([[1, 2], [3, 4]]), what does arr.sum() return?",
Option,0,"[4, 6]",
Option,0,"[3, 7]",
Option,0,"[[1, 2], [3, 4]]",
Option,100,"10",

NewQuestion,MC,
QuestionText,"Given arr = np.array([[1, 2, 3], [4, 5, 6]]), what does arr.sum(axis=0) return?",
Option,0,"[6, 15]",
Option,100,"[5, 7, 9]",
Option,0,"21",
Option,0,"[[5], [7], [9]]",

NewQuestion,MC,
QuestionText,"What does the axis parameter control in NumPy aggregation functions?",
Option,0,"Which array to operate on",
Option,0,"The data type of the result",
Option,100,"Which dimension to collapse during the operation",
Option,0,"The order of operations",

NewQuestion,MC,
QuestionText,"For a 2D array with shape (3, 4), what is the shape of arr.mean(axis=1)?",
Option,0,"(3, 4)",
Option,0,"(4,)",
Option,100,"(3,)",
Option,0,"A single scalar value",

NewQuestion,MS,
QuestionText,"Which statistical methods are available for NumPy arrays? (Select all that apply)",
Option,1,"mean()",
Option,1,"std()",
Option,1,"median()",
Option,1,"sum()",

NewQuestion,MC,
QuestionText,"What is the difference between arr.sort() and np.sort(arr)?",
Option,100,"arr.sort() modifies the array in place, np.sort() returns a sorted copy",
Option,0,"arr.sort() is faster than np.sort()",
Option,0,"np.sort() only works on 1D arrays",
Option,0,"They are identical",

NewQuestion,MC,
QuestionText,"When should you save arrays in .npy format instead of text format?",
Option,0,"When you need human-readable files",
Option,0,"When sharing with non-Python tools",
Option,100,"When you need to preserve exact dtypes and want faster I/O",
Option,0,"When file size is not a concern",

NewQuestion,MC,
QuestionText,"What is the purpose of setting a random seed with np.random.seed()?",
Option,0,"To make random numbers truly random",
Option,0,"To increase the speed of random generation",
Option,100,"To ensure reproducible results by generating the same sequence each time",
Option,0,"To prevent other programs from accessing the random number generator",

